msoa11cd,"1. Higher managerial, administrative and professional occupations","2. Lower managerial, administrative and professional occupations",3. Intermediate occupations,4. Small employers and own account workers,5. Lower supervisory and technical occupations,6. Semi-routine occupations,7. Routine occupations,8. Never worked and long-term unemployed
E02002559,2,42,50,2,11,53,22,13
E02002560,3,17,47,4,10,51,23,9
E02002561,3,29,47,0,7,48,11,17
E02002562,2,28,54,2,17,89,30,46
E02002563,2,34,33,2,7,51,22,21
E02002564,3,26,58,4,11,81,40,45
E02002565,11,17,70,0,16,80,33,26
E02002566,13,40,89,7,14,83,49,98
E02002567,2,28,70,5,10,75,50,57
E02002568,6,22,30,1,9,21,11,8
E02002569,4,39,46,2,10,29,13,10
E02002570,7,39,81,1,16,122,42,63
E02002571,3,20,59,1,10,92,42,36
E02002572,5,31,34,3,16,71,41,67
E02002573,5,33,46,4,19,49,42,22
E02004290,8,16,37,1,3,41,25,10
E02004291,2,22,41,5,13,50,35,42
E02004292,6,36,52,3,9,46,11,25
E02004293,5,27,61,2,5,92,37,50
E02004294,8,32,69,2,5,57,29,18
E02004295,0,25,38,3,13,50,30,41
E02004296,10,29,51,3,14,66,44,41
E02004297,5,34,36,5,12,64,21,19
E02004298,6,23,25,0,12,81,21,29
E02004299,4,27,51,2,13,67,30,68
E02004300,1,20,30,4,16,79,31,70
E02004301,4,27,61,2,16,107,55,120
E02004302,3,32,47,2,16,101,31,88
E02004303,9,57,72,2,24,133,48,50
E02004304,6,39,46,4,16,96,45,48
E02004305,8,27,48,2,10,87,51,59
E02004306,5,16,27,3,7,39,14,23
E02004307,3,22,43,7,8,51,30,34
E02004308,5,40,42,2,11,38,30,49
E02004309,7,22,25,3,3,47,18,18
E02004310,7,44,44,0,16,77,45,49
E02004311,4,36,48,1,9,78,29,43
E02004312,1,16,35,4,9,41,18,13
E02004313,10,41,39,2,10,68,26,49
E02004314,9,20,14,0,5,20,7,8
E02004315,17,43,30,1,7,37,20,21
E02004316,5,28,50,3,7,55,21,32
E02004317,2,29,37,1,12,70,29,45
E02004318,2,27,38,3,10,43,23,37
E02004319,5,23,44,2,11,56,23,37
E02004320,10,24,65,5,13,72,29,22
E02004321,3,36,61,1,9,97,40,61
E02004322,1,24,59,0,10,111,57,92
E02004323,10,37,84,4,18,63,32,54
E02004324,0,16,35,6,4,49,21,53
E02004325,5,25,84,0,10,84,48,104
E02004326,3,22,51,2,14,60,35,42
E02004327,2,20,60,4,8,76,40,82
E02004328,3,20,72,2,10,80,21,46
E02004329,7,35,57,1,12,49,23,27
E02004330,3,23,53,1,3,49,27,53
E02004331,4,31,67,2,15,49,30,61
E02004332,2,19,68,10,7,55,38,44
E02004333,4,27,41,2,8,47,21,20
E02004334,5,35,48,4,3,70,41,41
E02004335,1,12,43,2,5,86,39,70
E02004336,10,24,58,3,8,67,27,31
E02004337,2,28,58,6,9,89,37,54
E02004338,5,18,35,1,9,82,31,63
E02004339,4,21,30,5,8,26,20,14
E02004340,2,40,61,7,10,140,57,103
E02004341,5,27,41,4,10,64,21,22
E02004342,2,16,41,3,17,84,36,76
E02004343,1,21,42,2,4,64,31,21
E02004344,3,40,47,2,17,57,30,22
E02004345,7,35,62,6,17,83,50,46
E02004346,3,21,20,4,8,32,19,11
E02004347,2,20,29,5,19,57,20,17
E02004348,3,17,37,1,16,54,25,19
E02004349,4,18,61,4,5,81,41,80
