msoa11cd,"1. Higher managerial, administrative and professional occupations","2. Lower managerial, administrative and professional occupations",3. Intermediate occupations,4. Small employers and own account workers,5. Lower supervisory and technical occupations,6. Semi-routine occupations,7. Routine occupations,8. Never worked and long-term unemployed
E02005736,29,61,35,37,94,78,215,5
E02005737,49,85,34,49,133,79,170,24
E02005738,18,83,35,31,77,51,125,3
E02005739,61,156,50,72,182,90,254,13
E02005740,30,89,36,77,137,111,281,21
E02005741,81,130,40,68,126,69,163,15
E02002515,28,68,30,52,88,50,114,26
E02002516,28,62,26,22,123,46,133,11
E02002517,28,60,12,44,125,69,114,11
E02002518,95,201,54,54,203,83,132,15
E02002519,61,105,36,43,147,78,145,30
E02002520,200,299,67,115,346,133,257,17
E02002521,97,158,36,69,100,51,93,23
E02002523,11,9,10,8,55,53,116,10
E02002524,33,61,24,43,130,50,116,5
E02002525,38,67,30,34,200,102,244,27
E02002526,45,69,30,53,135,60,119,8
E02002527,17,27,15,31,79,54,128,21
E02002529,47,77,21,29,109,57,150,6
E02002530,48,86,22,91,141,83,151,11
E02002532,28,67,24,57,99,71,141,10
E02002533,123,173,43,56,100,32,52,7
E02002534,153,185,34,75,118,43,66,13
E02006812,70,136,34,68,181,86,167,7
E02006910,59,130,31,67,219,81,226,43
E02002535,87,137,28,52,148,62,113,6
E02002536,78,127,42,56,217,92,212,14
E02002537,20,59,25,29,134,87,182,32
E02002538,23,60,26,39,89,65,131,7
E02002539,139,189,52,121,139,66,90,10
E02002540,123,137,47,60,124,48,92,3
E02002541,50,76,32,51,109,73,111,7
E02002542,17,44,26,26,125,70,155,17
E02002543,24,37,13,30,86,86,161,23
E02002544,20,55,24,43,110,70,174,26
E02002545,68,101,30,39,93,54,83,9
E02002546,23,46,29,31,68,62,104,21
E02002547,100,159,45,65,135,74,100,6
E02002548,17,48,23,43,72,94,200,33
E02002549,166,202,64,72,170,87,97,21
E02002550,107,120,30,47,94,47,73,9
E02002551,17,25,25,19,63,58,109,13
E02002552,21,45,16,30,80,55,121,17
E02002553,29,81,20,43,94,74,120,19
E02002554,20,56,15,22,110,54,135,8
E02002555,185,188,48,97,149,61,103,4
E02002556,96,91,23,48,47,31,47,0
E02002557,41,65,19,30,34,21,39,1
E02002558,226,217,42,94,105,48,80,8
E02001682,95,154,43,66,106,79,152,3
E02001683,75,162,49,72,130,81,161,13
E02001684,23,65,28,30,90,60,149,15
E02001685,29,60,39,45,104,105,176,17
E02001686,73,118,43,63,124,72,131,24
E02001688,12,26,22,22,74,72,185,18
E02001689,15,42,24,41,100,92,125,34
E02001690,62,93,49,51,106,63,134,12
E02001691,23,53,29,44,73,85,106,13
E02001692,15,25,11,23,71,74,125,10
E02001693,24,50,25,27,106,73,165,27
E02001694,39,69,34,44,123,69,137,10
E02001695,35,76,20,42,100,52,96,6
E02001696,32,76,41,54,165,152,225,15
E02001697,83,111,43,51,110,71,103,30
E02001698,181,269,83,89,153,65,70,11
E02001699,36,69,43,49,120,113,158,16
E02001700,82,139,51,98,127,114,166,18
E02001701,83,153,55,62,104,70,81,15
E02001702,17,51,38,52,99,96,178,23
E02001703,98,142,38,78,92,73,97,4
E02001704,37,85,41,56,157,133,180,13
E02001705,39,88,40,53,97,66,194,26
E02001706,45,81,34,45,95,77,167,4
E02001707,60,123,46,65,144,105,184,16
E02006841,8,24,22,18,50,70,136,28
E02006842,26,42,19,23,53,56,79,16
E02001708,80,111,42,69,103,64,138,7
E02001709,219,254,39,91,62,40,51,12
E02001710,49,100,48,62,123,102,168,23
E02001711,59,103,35,76,111,93,167,31
E02001712,157,157,54,75,57,45,61,6
E02001713,220,161,36,87,76,58,93,18
E02001714,114,145,54,73,84,52,64,14
E02001715,85,107,30,60,95,86,113,14
E02001718,11,41,24,24,82,75,162,13
E02001719,79,126,48,76,110,79,114,8
E02001720,97,69,25,32,11,14,16,6
E02001721,73,120,65,82,165,127,217,26
E02001722,62,139,63,64,146,156,190,13
E02001723,43,61,23,46,50,50,81,8
E02001724,87,67,29,43,27,17,30,6
E02001725,8,35,10,24,66,75,105,26
E02001726,66,91,50,80,123,88,161,17
E02001727,32,78,46,48,129,124,184,16
E02001728,55,97,48,78,121,106,208,12
E02001729,39,56,34,38,43,55,79,16
E02001730,27,45,34,34,65,79,116,17
E02001731,26,48,26,45,47,67,97,29
E02001732,13,45,18,19,75,57,108,19
E02001733,13,48,27,40,108,136,232,77
E02001734,27,59,36,49,65,65,133,24
E02001735,3,18,15,19,52,77,192,26
E02001736,23,44,34,41,93,96,193,69
E02001737,8,36,20,25,60,82,166,31
E02006893,148,261,99,126,208,133,198,26
E02001738,264,267,63,74,49,30,25,3
E02001739,34,73,40,49,103,103,164,11
E02001740,131,150,29,44,28,22,22,6
E02001741,89,222,69,76,121,86,106,6
E02001742,94,131,48,49,74,35,51,2
E02001743,49,92,40,51,50,48,66,24
E02001744,56,83,46,50,86,47,83,3
E02001745,25,41,28,22,76,68,121,7
E02001746,67,143,39,71,96,69,104,11
E02001747,120,212,73,66,95,64,87,7
E02001748,23,58,39,36,78,63,134,7
E02001749,45,89,39,41,73,68,97,7
E02001750,130,156,43,57,73,47,80,4
E02001751,43,105,48,44,102,68,108,15
E02001752,35,61,16,50,96,68,137,10
E02001753,89,136,35,63,73,36,80,12
E02001754,112,144,28,64,63,35,54,18
E02001755,87,133,48,66,82,54,94,17
E02001756,20,64,37,33,120,109,197,12
E02001757,37,103,44,52,120,86,144,10
E02001758,19,48,23,18,66,44,93,5
E02001759,48,80,32,54,60,65,95,19
E02001760,13,38,20,33,68,83,151,17
E02001761,24,59,31,29,117,70,150,5
E02001762,29,63,24,21,71,59,98,3
E02001763,14,48,17,17,88,86,141,27
E02001764,18,45,18,43,82,71,152,20
E02001765,11,31,18,31,73,64,145,25
E02001766,21,32,17,30,60,63,93,9
E02001767,24,52,29,25,85,77,157,11
E02001768,47,79,33,75,95,75,147,11
E02001769,15,43,18,36,83,79,187,17
E02001770,39,86,28,44,94,43,94,12
E02001771,47,114,29,52,99,52,144,23
E02001772,39,75,20,40,87,59,114,19
E02001773,87,142,27,68,83,45,78,3
E02001774,13,44,15,22,58,59,140,27
E02001775,14,31,14,40,99,72,163,6
E02001776,31,45,25,32,106,68,176,27
E02001777,27,52,24,33,63,52,116,25
E02001778,11,39,20,30,86,52,143,22
E02001779,12,35,13,34,84,56,151,15
E02001780,47,102,21,45,90,65,121,9
E02001781,11,33,14,28,97,55,149,8
E02001782,48,90,39,41,168,125,210,26
E02001783,7,33,8,25,96,47,184,13
E02001784,36,60,19,35,117,72,197,12
E02001785,61,126,47,78,120,90,193,10
E02001786,22,58,29,27,101,72,235,26
E02001787,31,59,19,37,76,53,129,11
E02001788,19,39,23,27,77,48,125,7
E02001789,161,168,31,92,67,27,47,4
E02001790,73,141,35,65,95,46,99,7
E02001791,63,137,58,38,103,42,92,1
E02001792,108,182,70,69,104,71,106,18
E02001793,13,26,11,29,75,96,250,15
E02001794,12,44,38,45,111,102,272,34
E02001795,17,59,19,40,89,88,226,23
E02001796,56,124,48,77,126,91,199,12
E02001797,73,114,26,45,81,57,82,30
E02001798,11,42,15,36,108,100,206,19
E02001799,28,68,29,55,91,88,215,8
E02001800,33,76,19,26,75,57,132,7
E02001801,6,32,13,22,46,42,129,4
E02001802,11,17,12,22,58,76,183,13
E02001803,16,46,23,44,62,54,137,20
E02001804,20,45,26,53,79,96,166,15
E02001805,55,127,29,60,105,75,130,20
E02001806,17,45,19,42,99,84,224,18
E02001807,29,78,27,46,78,55,120,6
E02001808,31,59,28,40,78,49,88,7
E02001809,62,121,39,45,95,68,118,15
E02001810,33,70,30,34,67,63,108,10
E02001811,34,70,31,62,110,110,233,19
E02001812,234,292,78,134,109,55,97,21
E02001813,11,42,17,40,99,152,272,40
E02001814,32,63,31,44,75,60,125,15
E02001815,120,172,58,83,106,71,112,10
E02001816,26,49,21,46,130,104,210,23
E02001817,18,44,19,40,82,77,178,11
E02001818,32,83,33,43,85,76,200,26
E02001819,112,181,34,96,117,61,127,5
E02001820,38,100,37,56,117,76,178,8
E02001821,20,61,29,30,65,46,125,2
E02001822,37,66,43,55,87,59,119,15
E02001823,27,48,21,29,102,78,190,12
E02001824,75,171,50,58,137,89,195,5
E02001825,46,119,30,73,116,58,264,15
E02001826,22,45,31,36,96,52,186,15
E02002615,71,143,45,118,159,102,120,13
E02002616,110,135,43,88,56,54,53,15
E02002617,21,21,12,26,65,52,123,26
E02002618,36,33,9,40,27,28,63,21
E02002619,19,40,30,72,61,59,106,28
E02002620,10,32,25,54,55,62,119,28
E02002621,9,10,12,24,31,31,112,26
E02002622,19,42,17,37,98,95,149,26
E02002623,21,40,21,57,94,107,154,11
E02002624,124,220,56,110,139,69,117,2
E02002625,20,38,20,54,93,78,127,11
E02002626,54,84,31,57,114,75,128,7
E02002627,23,59,23,53,54,48,65,5
E02002628,59,83,32,81,89,64,99,9
E02002629,25,43,15,51,90,54,91,10
E02002630,35,49,16,47,71,41,91,10
E02002631,67,87,35,114,108,69,115,7
E02002632,119,115,22,120,57,43,48,2
E02002633,80,157,79,189,164,101,132,17
E02002634,72,150,71,137,166,94,161,21
E02002635,106,153,95,205,133,102,119,18
E02002636,45,103,57,154,90,74,129,12
E02002637,52,110,50,127,83,70,77,10
E02002638,22,62,38,120,67,68,100,25
E02002639,15,43,22,57,56,58,124,17
E02002640,13,28,25,72,56,62,130,18
E02002641,44,100,35,117,93,59,96,9
E02002642,21,69,29,145,59,65,83,15
E02002643,19,53,32,114,72,62,110,8
E02002644,53,111,55,131,98,61,98,11
E02002645,10,32,17,106,53,42,76,12
E02002646,33,86,41,126,113,96,129,13
E02002647,22,53,40,121,106,88,148,17
E02002648,21,85,28,109,98,88,123,9
E02002649,58,123,54,185,100,89,147,44
E02002650,62,131,58,204,135,94,118,10
E02002651,53,117,54,188,146,89,119,20
E02003811,174,143,25,200,58,24,47,9
E02003812,163,147,39,95,59,34,43,2
E02003813,66,94,25,78,100,49,105,9
E02003814,35,56,11,48,64,44,98,1
E02003815,60,115,14,93,64,72,110,11
E02003816,78,101,25,82,90,68,122,15
E02003817,150,146,43,116,105,65,80,5
E02003818,146,132,33,111,52,35,46,6
E02003819,142,135,45,86,104,43,74,7
E02003820,74,77,27,48,75,30,60,3
E02003821,78,106,37,83,96,51,100,4
E02003822,169,243,54,270,143,92,147,12
E02003823,155,189,50,82,108,65,86,5
E02003824,129,131,20,53,52,30,52,5
E02003825,29,43,8,33,50,29,43,7
E02003826,20,44,18,51,127,88,110,15
E02003827,15,56,42,39,172,121,103,13
E02003828,25,62,20,35,111,75,82,23
E02003829,53,98,41,48,207,87,83,6
E02003830,10,51,20,42,98,72,81,14
E02003831,119,159,53,137,135,67,77,17
E02003832,23,36,22,22,97,38,44,4
E02003833,28,74,28,45,150,73,78,5
E02003834,27,57,35,40,91,41,56,7
E02003835,193,261,55,114,141,61,59,0
E02003836,122,149,49,91,111,89,84,6
E02003837,157,196,30,239,92,60,63,10
E02003838,79,119,40,94,149,68,79,6
E02003839,121,153,43,92,99,74,83,16
E02003840,218,205,37,317,102,89,84,22
E02003853,154,153,29,113,53,45,40,3
E02003854,157,179,45,98,62,27,40,7
E02003855,217,221,63,138,70,41,53,4
E02003856,148,170,44,125,99,78,120,13
E02003857,99,136,24,70,29,31,39,2
E02003858,226,168,26,96,30,19,17,3
E02003859,309,278,43,350,115,79,73,29
