msoa11cd,"1. Higher managerial, administrative and professional occupations","2. Lower managerial, administrative and professional occupations",3. Intermediate occupations,4. Small employers and own account workers,5. Lower supervisory and technical occupations,6. Semi-routine occupations,7. Routine occupations,8. Never worked and long-term unemployed
E02004320,12,31,42,5,47,62,54,38
E02004321,6,21,30,10,43,90,67,61
E02004322,5,13,25,5,26,60,63,83
E02004323,10,33,42,11,58,65,76,55
E02004324,3,16,22,5,31,37,52,48
E02004325,9,23,41,6,35,85,86,91
E02004326,4,13,29,12,39,44,61,41
E02004327,1,17,32,5,19,62,69,67
E02004328,8,11,43,10,29,56,65,46
E02004329,10,29,40,11,29,53,43,25
E02004330,2,9,32,9,19,32,52,48
E02004331,5,23,32,19,26,36,68,61
E02004332,6,18,29,15,30,40,65,47
E02004333,5,21,23,11,29,54,47,23
E02004334,5,22,23,9,30,48,56,48
E02004335,2,18,15,3,31,46,55,49
E02004336,14,30,22,6,32,46,59,37
E02004337,9,37,36,11,40,63,69,41
E02004338,8,18,21,7,37,48,65,33
E02004339,8,20,16,7,22,35,31,23
E02004340,6,29,21,18,36,85,94,83
E02004341,13,41,36,6,32,47,56,27
E02004342,6,18,20,9,27,54,48,64
E02004343,3,14,28,6,18,55,54,18
E02004344,7,20,39,8,37,62,51,44
E02004345,17,37,27,36,45,54,79,53
E02004346,9,23,8,23,26,20,31,5
E02004347,12,20,26,17,69,89,117,270
E02004348,6,27,18,18,29,38,48,26
E02004349,2,22,22,26,37,71,66,92
E02004350,3,34,33,18,61,69,69,59
E02004351,4,20,22,8,23,48,70,74
E02004352,6,19,23,14,26,55,64,51
E02004353,4,20,30,7,31,54,53,24
E02004354,6,29,21,20,37,51,60,45
E02004355,4,12,17,12,29,67,58,60
E02002483,11,34,40,8,40,39,73,40
E02002484,8,23,39,17,41,85,88,126
E02002485,6,20,32,13,35,55,83,77
E02002487,10,9,45,12,39,54,56,92
E02002488,8,30,25,11,28,37,34,19
E02002489,8,33,40,12,43,71,64,93
E02002490,6,25,15,11,38,41,78,60
E02002491,4,20,27,11,42,42,50,60
E02002492,7,18,25,12,37,41,41,49
E02002493,6,29,23,6,39,39,42,16
E02002494,8,22,24,8,49,52,75,66
E02006909,12,52,32,20,49,54,52,22
E02002496,26,46,44,29,42,86,77,159
E02002497,5,15,10,13,31,52,71,83
E02002498,12,26,31,23,37,76,58,133
E02002499,4,29,24,5,27,65,70,95
E02002500,10,20,19,17,24,38,31,54
E02002501,7,23,26,9,21,38,44,78
E02002502,9,21,28,6,27,64,89,122
E02002503,4,27,22,5,18,57,55,69
E02002504,11,39,45,21,45,66,48,54
E02002505,4,13,24,8,20,63,86,64
E02002506,4,14,17,8,15,43,43,92
E02002507,7,26,38,6,31,52,33,28
E02002508,7,12,21,6,23,43,38,17
E02002509,2,18,15,11,19,49,48,53
E02002510,3,16,20,4,32,36,40,24
E02002512,10,19,29,6,19,24,36,9
E02002513,10,26,22,12,29,53,59,62
E02002514,10,37,35,6,49,64,59,41
E02006811,17,37,36,12,42,44,35,26
E02005702,29,45,54,10,41,29,20,14
E02005703,8,20,19,18,38,43,43,19
E02005704,11,40,42,26,52,84,76,49
E02005705,6,21,7,14,28,35,38,18
E02005706,8,21,20,10,54,109,99,22
E02005707,2,16,14,8,38,39,41,12
E02005708,4,31,18,24,60,80,73,20
E02005709,6,24,23,9,35,44,80,69
E02005710,9,31,54,14,45,66,70,64
E02005711,3,28,27,7,30,55,84,44
E02005712,8,27,36,9,33,48,63,47
E02005713,13,29,45,3,37,47,34,14
E02005714,2,13,16,2,18,20,14,5
E02005715,8,24,41,4,35,60,65,66
E02005716,8,37,47,13,29,63,59,42
E02005717,7,15,31,9,30,39,44,19
E02005718,5,35,33,7,30,40,39,10
E02005719,13,30,34,10,46,60,55,32
E02005720,17,27,35,23,75,102,164,135
E02005721,4,17,29,6,32,35,26,36
E02005722,7,18,12,10,13,33,16,8
E02005723,9,17,16,9,15,40,31,22
E02005724,9,32,18,12,10,20,21,15
E02005725,3,21,21,2,17,25,32,17
E02005726,17,55,89,9,32,28,20,13
E02005727,3,30,12,25,34,41,20,12
E02005728,7,31,8,29,50,48,24,22
E02005729,7,22,12,5,19,31,23,10
E02005730,13,57,20,16,64,111,74,49
E02005731,19,62,27,6,65,70,58,40
E02005732,18,30,17,11,38,43,35,25
E02005733,9,37,13,25,41,42,57,18
E02005734,4,18,14,10,24,47,54,59
E02005735,10,27,24,4,42,60,81,93
E02005736,11,28,24,6,31,48,70,85
E02005737,12,28,20,3,37,58,56,33
E02005738,8,19,13,7,23,22,34,28
E02005739,3,45,24,11,43,63,63,50
E02005740,7,32,46,13,53,73,92,63
E02005741,11,40,40,10,29,45,52,36
E02002515,13,28,28,7,53,62,62,70
E02002516,3,20,15,5,35,42,51,39
E02002517,4,21,20,4,36,55,57,48
E02002518,16,42,35,8,61,49,66,52
E02002519,8,28,20,5,37,28,58,55
E02002520,13,40,47,6,75,56,69,57
E02002521,8,26,25,4,29,25,40,62
E02002523,5,26,17,6,26,65,83,88
E02002524,2,12,11,8,33,40,43,40
E02002525,6,30,34,4,44,54,95,46
E02002526,4,37,22,11,46,47,46,52
E02002527,3,14,10,4,36,38,52,68
E02002529,6,23,23,9,30,43,39,38
E02002530,4,21,15,20,45,39,57,49
E02002532,4,20,26,14,43,31,39,56
E02002533,8,22,11,7,21,31,32,29
E02002534,8,21,11,5,38,19,28,18
E02006812,8,26,18,7,44,40,59,62
E02006910,17,38,35,17,43,62,75,104
E02002535,21,45,37,13,73,67,72,31
E02002536,12,41,40,8,56,62,76,61
E02002537,8,37,29,13,50,82,104,100
E02002538,2,22,28,10,37,40,58,41
E02002539,13,35,32,7,30,36,40,19
E02002540,7,30,22,10,30,29,40,15
E02002541,6,28,18,5,39,42,49,47
E02002542,6,31,30,13,41,65,79,90
E02002543,8,37,24,4,47,55,62,96
E02002544,10,41,26,22,42,60,138,137
E02002545,5,19,32,13,33,35,39,19
E02002546,9,35,43,8,40,75,73,84
E02002547,10,28,28,9,27,37,39,31
E02002548,11,48,33,17,50,79,74,153
E02002549,6,39,24,10,38,59,35,24
E02002550,9,23,28,7,24,31,31,32
E02002551,11,18,43,13,20,42,50,63
E02002552,8,23,36,10,26,46,51,59
E02002553,5,26,36,10,32,48,39,22
E02002554,3,19,13,5,18,62,47,58
E02002555,19,49,20,9,32,42,43,38
E02002556,20,53,36,4,35,32,32,19
E02002557,24,64,68,5,62,71,48,28
E02002558,19,65,23,9,40,41,56,38
E02001682,2,36,26,9,34,61,36,27
E02001683,10,41,23,10,53,72,62,24
E02001684,14,28,23,2,20,67,65,50
E02001685,8,38,27,13,27,62,56,57
E02001686,7,25,18,4,36,50,43,27
E02001688,20,44,41,12,31,67,58,60
E02001689,24,34,34,13,19,41,53,63
E02001690,9,31,27,9,37,53,38,39
E02001691,8,35,30,10,32,70,54,54
E02001692,6,14,25,6,13,40,59,56
E02001693,4,10,20,11,26,35,35,35
E02001694,10,21,29,3,31,53,57,25
E02001695,14,22,29,2,29,28,45,17
E02001696,6,26,32,4,44,61,66,51
E02001697,11,32,16,8,21,40,33,18
E02001698,11,28,31,4,20,33,18,15
E02001699,5,19,34,5,30,51,67,40
E02001700,11,35,47,8,45,74,55,41
E02001701,8,31,13,4,20,38,34,3
E02001702,4,23,41,8,27,73,63,62
E02001703,3,22,21,5,26,26,32,18
E02001704,6,36,34,9,33,44,58,35
E02001705,5,39,10,7,36,45,36,40
E02001706,11,15,20,6,21,54,53,43
E02001707,8,33,35,12,44,69,60,49
E02006841,36,84,38,9,32,51,34,49
E02006842,9,12,22,11,19,35,40,31
E02001708,10,35,26,6,33,58,51,35
E02001709,16,33,32,4,27,39,18,25
E02001710,8,36,51,5,37,76,70,76
E02001711,7,34,40,19,37,79,52,80
E02001712,32,60,43,2,17,47,19,12
E02001713,22,30,43,4,23,41,36,42
E02001714,28,38,41,9,29,40,40,32
E02001715,15,31,22,13,38,84,80,90
E02001718,3,19,17,3,27,41,48,42
E02001719,19,67,46,17,37,56,39,26
E02001720,54,71,53,19,19,34,28,16
E02001721,11,35,45,18,60,69,66,51
E02001722,9,30,31,20,49,67,76,46
E02001723,8,18,22,8,25,43,36,34
E02001724,62,65,32,10,21,35,28,21
E02001725,44,156,119,17,76,100,100,54
E02001726,15,40,37,19,46,73,66,72
E02001727,10,27,33,12,47,69,70,54
E02001728,8,35,40,15,46,69,65,50
E02001729,24,56,39,19,28,74,72,84
E02001730,52,76,70,9,40,68,48,62
E02001731,40,63,31,10,19,49,61,63
E02001732,2,11,13,6,19,38,44,44
E02001733,28,54,40,10,43,93,77,124
E02001734,10,25,20,8,26,47,57,84
E02001735,5,16,24,8,17,53,47,88
E02001736,9,34,29,27,25,73,84,149
E02001737,3,21,14,11,26,62,53,96
E02006893,5,44,37,8,60,78,41,30
E02001738,9,18,20,3,18,23,12,5
E02001739,7,25,28,14,44,60,59,35
E02001740,4,18,25,1,12,29,13,11
E02001741,10,23,26,5,27,34,29,20
E02001742,9,28,21,3,21,26,20,18
E02001743,9,35,37,3,25,39,32,31
E02001744,7,22,22,7,28,40,29,31
E02001745,1,26,33,6,31,45,42,34
E02001746,2,27,33,8,37,59,35,31
E02001747,12,18,13,9,19,43,25,10
E02001748,11,25,28,11,32,52,39,27
E02001749,8,29,34,7,25,31,36,13
E02001750,9,29,25,5,30,38,23,10
E02001751,6,14,27,8,33,49,41,29
E02001752,8,15,24,4,24,46,42,45
E02001753,9,23,30,4,20,26,26,22
E02001754,7,23,27,8,17,33,20,15
E02001755,9,29,36,4,24,42,30,25
E02001756,18,42,45,9,49,64,55,47
E02001757,6,14,29,5,31,38,31,26
E02001758,4,21,28,7,25,50,41,25
E02001759,8,25,36,8,16,36,37,28
E02001760,6,24,52,12,29,80,53,68
E02001761,5,17,26,1,33,40,30,20
E02001762,9,24,42,5,36,50,35,11
E02001763,7,14,24,5,24,47,49,46
E02001764,4,23,36,6,23,48,67,77
E02001765,10,15,29,8,26,50,36,60
E02001766,6,24,42,10,37,52,49,54
E02001767,14,28,34,8,26,43,40,35
E02001768,9,34,36,2,39,50,57,55
E02001769,6,39,21,20,44,61,64,86
E02001770,20,33,25,6,23,48,47,18
E02001771,6,29,31,9,23,45,42,44
E02001772,7,21,15,6,35,42,32,45
E02001773,6,28,15,11,30,22,27,17
E02001774,7,17,28,3,18,70,41,36
E02001775,3,11,31,4,20,54,45,52
E02001776,9,36,42,14,35,73,65,60
E02001777,2,29,25,5,37,49,45,27
E02001778,7,28,21,7,40,64,48,40
E02001779,6,23,21,7,29,48,61,53
E02001780,8,27,22,3,25,20,42,37
E02001781,7,23,25,6,21,54,48,46
E02001782,3,32,50,9,38,62,58,35
E02001783,10,24,13,9,28,47,53,64
E02001784,4,21,41,3,28,66,58,53
E02001785,6,32,32,7,39,46,46,40
E02001786,9,22,32,10,47,64,70,48
E02001787,10,9,25,5,26,42,46,34
E02001788,11,20,21,5,32,35,44,30
E02001789,9,22,19,5,24,22,11,11
E02001790,7,14,22,5,23,37,32,20
E02001791,11,28,36,7,15,34,30,19
E02001792,7,29,34,5,27,51,31,14
E02001793,6,20,39,5,40,82,76,70
E02001794,2,31,26,13,36,63,78,93
E02001795,5,14,22,9,30,53,66,50
E02001796,8,27,45,14,34,84,63,40
E02001797,5,27,18,2,23,45,43,16
E02001798,8,29,38,7,39,82,71,65
E02001799,7,33,35,7,49,96,85,77
E02001800,11,19,37,3,36,55,52,32
E02001801,2,23,32,6,24,50,42,54
E02001802,6,23,14,1,22,39,71,86
E02001803,16,43,51,8,33,84,59,76
E02001804,7,24,22,9,49,60,53,52
E02001805,3,18,19,3,21,44,34,41
E02001806,14,47,42,8,30,56,79,110
E02001807,8,23,27,4,34,64,48,40
E02001808,5,17,36,2,17,38,38,36
E02001809,3,23,28,6,14,54,42,20
E02001810,12,37,48,6,43,78,55,46
E02001811,4,32,51,4,51,56,71,94
E02001812,13,45,50,8,21,75,47,50
E02001813,4,29,47,12,50,78,78,121
E02001814,4,19,40,7,24,43,48,49
E02001815,22,43,47,13,51,88,55,26
E02001816,1,15,16,2,24,46,48,56
E02001817,5,25,35,12,28,56,53,56
E02001818,9,38,40,8,36,46,45,52
E02001819,9,27,30,4,33,43,23,19
E02001820,7,22,29,8,32,66,55,50
E02001821,5,24,28,6,36,43,34,28
E02001822,3,27,27,10,37,61,49,36
E02001823,3,20,26,14,30,52,54,44
E02001824,4,36,51,8,30,49,42,47
E02001825,6,21,27,3,30,53,47,49
E02001826,6,17,24,17,43,48,50,51
E02002615,11,37,42,12,40,57,45,36
E02002616,12,31,33,11,25,66,36,34
E02002617,13,17,35,5,21,68,39,59
E02002618,9,24,31,11,12,61,21,44
E02002619,5,29,31,17,28,69,58,68
E02002620,8,26,54,11,30,69,40,78
E02002621,6,21,55,8,16,56,48,65
E02002622,6,25,34,7,31,69,72,96
E02002623,15,51,41,11,52,89,93,79
E02002624,13,35,36,17,44,41,36,8
E02002625,16,23,29,8,47,83,54,83
E02002626,7,19,25,6,30,53,56,37
E02002627,12,31,24,11,41,43,59,15
E02002628,10,29,27,9,41,49,56,31
E02002629,2,14,23,16,31,43,49,46
E02002630,4,19,32,21,25,44,38,58
E02002631,13,27,40,16,47,61,55,45
E02002632,9,27,16,24,21,35,27,11
E02002633,8,25,24,7,33,44,48,19
E02002634,5,17,26,14,34,55,40,31
E02002635,6,28,19,9,43,56,41,19
E02002636,6,25,22,22,47,63,72,35
E02002637,9,29,24,11,30,32,44,26
E02002638,8,18,17,7,20,59,78,67
E02002639,3,8,10,8,19,48,46,42
E02002640,4,17,22,11,29,56,59,83
E02002641,12,28,30,13,31,73,54,39
E02002642,4,19,22,17,23,90,90,89
E02002643,5,28,22,10,33,69,63,60
E02002644,10,38,33,18,32,87,51,28
E02002645,3,19,22,12,29,68,60,81
E02002646,0,23,23,7,26,44,57,58
E02002647,8,25,25,21,42,71,57,53
E02002648,4,25,22,17,38,60,47,37
E02002649,11,35,31,11,26,74,64,29
E02002650,10,23,33,25,32,48,49,29
E02002651,3,32,31,13,33,53,51,22
E02003811,9,19,13,9,23,25,15,17
E02003812,3,15,16,8,14,18,21,8
E02003813,7,32,24,11,34,48,33,17
E02003814,14,28,18,4,37,46,54,28
E02003815,5,20,21,17,37,47,51,44
E02003816,5,37,18,12,33,53,29,25
E02003817,6,25,18,7,25,38,22,16
E02003818,5,29,11,6,27,19,23,11
E02003819,10,28,17,8,21,24,18,11
E02003820,8,31,24,4,25,41,42,18
E02003821,3,22,12,6,29,28,22,20
E02003822,13,44,26,23,49,58,44,21
E02003823,4,26,14,10,19,29,33,19
E02003824,9,30,15,6,16,45,20,13
E02003825,6,30,39,13,41,60,41,9
E02003826,3,25,25,8,35,73,83,60
E02003827,13,42,25,6,50,81,102,67
E02003828,7,24,19,11,22,55,65,46
E02003829,2,28,13,4,32,35,31,11
E02003830,17,44,33,5,37,72,71,26
E02003831,18,48,30,4,44,56,34,16
E02003832,11,29,15,7,33,51,71,34
E02003833,13,28,34,3,25,57,39,25
E02003834,13,50,26,7,36,70,74,29
E02003835,11,50,23,6,32,42,28,16
E02003836,16,36,23,8,37,48,35,20
E02003837,18,68,27,20,43,47,46,22
E02003838,8,18,28,7,27,41,25,5
E02003839,19,18,17,11,31,56,21,18
E02003840,16,36,21,29,39,46,30,10
E02003853,11,26,19,9,13,39,21,10
E02003854,15,25,25,9,24,37,13,9
E02003855,11,30,19,8,19,43,20,11
E02003856,7,40,36,9,44,62,50,40
E02003857,9,27,13,6,28,31,25,20
E02003858,19,28,15,11,10,20,13,8
E02003859,20,48,22,18,37,43,35,39
E02003860,9,25,19,11,6,35,24,12
E02003861,6,26,14,8,19,41,34,26
E02003862,7,23,11,5,7,20,5,12
E02003863,6,25,8,3,20,22,17,6
E02003864,14,41,17,5,25,26,17,16
E02003865,7,25,19,11,26,43,38,13
E02003866,12,20,23,5,13,29,18,12
E02003867,12,26,25,6,33,41,25,25
E02003868,9,24,18,16,32,53,56,40
E02003869,9,34,25,11,30,41,23,17
E02003870,18,59,35,24,44,92,48,28
E02003871,8,19,22,10,38,46,39,42
E02003872,14,36,14,23,25,38,30,15
E02003873,6,23,23,5,19,45,50,30
E02003794,12,37,18,8,35,43,30,14
E02003795,11,24,25,9,29,28,27,11
E02003796,8,18,21,10,36,47,40,17
E02003797,12,32,23,10,27,36,38,16
E02003798,4,27,20,6,41,50,63,29
E02003799,6,33,23,9,42,64,44,40
E02003800,9,19,20,8,30,26,12,15
E02003801,3,23,26,6,32,41,37,17
E02003802,32,72,57,11,56,64,38,27
E02003803,23,88,47,14,50,62,48,26
E02003804,15,37,26,13,38,40,32,12
E02003805,13,22,14,7,12,30,22,15
E02003806,12,14,19,2,28,23,13,14
E02003807,14,32,26,6,25,24,26,11
E02003808,5,25,34,4,29,50,48,28
E02003809,12,19,13,18,32,38,32,15
E02003810,4,23,15,20,30,33,38,14
E02003841,14,23,10,11,28,56,28,26
E02003842,7,18,16,6,12,31,14,11
E02003843,8,22,16,5,25,51,41,17
E02003844,17,14,25,7,38,46,29,19
E02003845,11,51,23,13,40,85,62,62
E02003846,6,23,23,12,44,78,49,42
E02003847,22,49,43,11,52,67,50,18
E02003848,3,17,20,6,29,56,41,29
E02003849,5,33,17,10,43,80,60,51
E02003850,8,28,14,5,30,53,35,21
E02003851,10,26,22,12,31,45,24,11
E02003852,11,33,29,5,70,69,36,14
E02003874,13,31,23,11,34,44,37,36
E02003875,6,25,19,11,21,20,36,12
E02003876,5,25,19,7,22,49,38,28
E02003877,15,27,20,10,30,49,34,10
E02003878,9,30,22,9,36,52,39,19
E02003879,3,36,28,11,35,50,52,28
E02003880,6,15,15,8,29,55,46,26
E02003881,5,26,27,4,24,47,35,25
E02003882,8,44,37,12,47,85,68,36
E02003883,26,36,32,11,19,32,34,18
E02003884,15,27,17,12,18,31,26,16
E02003885,5,30,21,11,21,26,24,8
E02003886,6,36,22,10,41,50,62,46
E02003887,4,23,22,11,32,44,39,14
E02003888,4,35,27,6,32,50,57,38
E02003889,6,15,21,11,16,54,63,32
E02003890,8,22,26,7,28,39,58,45
E02003891,5,15,12,8,17,24,24,10
E02002574,11,27,29,7,41,52,34,11
E02002575,18,59,58,22,56,52,45,24
E02002576,5,28,38,14,31,64,55,33
E02002577,3,28,31,6,29,62,70,61
E02002578,7,20,31,13,38,65,65,47
E02002579,3,20,40,14,43,67,81,62
E02002580,6,29,26,12,28,78,97,63
E02002581,13,23,33,16,33,45,52,27
E02002582,10,30,32,14,30,42,37,21
E02002583,4,22,23,4,39,50,76,63
E02002584,12,41,35,15,36,67,64,47
E02002585,12,39,44,10,62,109,93,55
E02002586,9,41,42,10,36,72,99,114
E02002587,6,20,26,7,38,52,55,37
E02002588,4,17,30,3,18,63,81,48
E02002589,8,31,26,7,25,34,30,13
E02002590,15,34,29,17,43,72,89,80
E02002591,5,28,20,7,19,38,31,15
E02002592,5,27,26,13,22,37,40,16
E02002593,8,26,22,7,18,41,35,19
E02002594,14,26,45,7,26,30,34,22
E02002595,5,34,41,13,33,69,93,66
E02002596,18,33,42,11,21,58,52,25
E02002597,5,30,36,6,47,89,95,56
E02002598,17,47,46,9,40,62,39,6
E02002599,19,46,53,10,49,72,46,26
E02002600,14,36,41,11,42,75,80,52
E02002601,7,27,45,8,30,49,52,27
E02002602,6,30,22,3,31,67,91,70
E02002603,17,30,29,9,32,42,55,20
E02002604,17,40,21,8,32,45,25,5
E02002605,13,36,40,16,44,65,60,28
E02002606,12,56,54,12,81,95,110,51
E02002607,29,60,44,12,58,88,104,44
E02002608,9,49,36,11,34,31,36,23
E02002609,12,39,43,12,50,68,73,58
E02002610,21,37,31,9,30,50,46,28
E02002611,10,43,28,13,46,30,37,9
E02002612,15,35,35,10,36,30,37,25
E02002613,9,44,35,29,43,61,99,111
E02002614,9,23,23,5,24,26,11,16
E02003965,10,32,15,23,56,102,78,35
E02003966,6,26,9,24,28,60,31,11
E02003967,8,27,18,23,42,68,91,30
E02003968,4,21,28,6,86,59,76,37
E02003969,7,16,16,14,47,47,66,46
E02003970,11,18,17,8,24,52,35,11
E02003971,10,22,18,12,55,47,63,21
E02003972,13,23,26,4,66,83,76,39
E02003973,9,29,31,7,82,84,85,67
E02003974,8,18,27,8,56,70,72,32
E02003975,2,22,16,3,44,47,47,17
E02003976,3,22,10,13,44,53,56,13
E02003977,21,21,21,9,66,54,61,22
E02003978,11,29,18,10,32,41,47,24
E02003979,21,26,24,3,48,42,36,13
E02003980,17,20,27,13,39,66,68,53
E02003981,20,33,25,6,52,54,55,23
E02003982,20,34,26,4,46,43,51,23
E02003983,12,42,24,14,47,75,87,85
E02003984,6,32,24,15,62,69,82,54
E02003985,11,17,16,5,33,58,52,29
E02003986,20,17,19,5,49,48,71,40
E02003987,6,17,12,26,33,54,54,16
E02003988,11,22,24,18,27,48,43,18
E02003989,15,33,26,6,55,53,49,28
E02003990,9,31,23,17,38,64,43,21
E02003991,7,33,18,12,51,55,57,19
E02003992,7,32,27,15,63,73,69,34
E02003993,9,34,14,24,36,53,47,16
E02003994,10,28,25,10,56,91,68,37
E02003995,7,37,19,7,43,92,82,42
E02003996,9,44,31,12,80,115,102,41
E02003997,5,31,13,12,49,109,95,63
E02003998,6,18,25,13,45,62,65,55
E02003999,6,33,24,15,53,86,56,22
E02004000,12,18,9,5,38,32,54,26
E02004001,18,24,17,10,46,33,34,39
E02004002,25,42,39,8,82,72,71,30
E02004003,29,34,44,4,103,87,116,70
E02004004,8,29,41,11,62,85,93,68
E02004005,19,27,26,5,70,57,64,41
E02004006,14,20,18,17,42,48,41,33
E02004007,15,29,25,34,91,69,113,63
E02004008,11,27,9,35,34,52,40,4
E02004009,8,19,3,18,28,42,30,9
E02004010,5,31,13,10,58,86,79,22
E02004011,8,26,19,15,51,67,68,20
E02004012,4,22,8,11,35,33,27,3
E02004013,8,33,9,27,67,83,66,11
E02004014,8,24,10,25,45,60,55,19
E02004015,0,17,3,16,38,48,46,10
E02004016,5,22,11,13,70,52,59,15
E02004017,9,30,15,16,61,58,62,17
E02004018,7,32,18,14,43,91,76,17
E02004019,4,25,17,19,41,50,57,7
E02004020,3,38,20,11,48,37,47,19
E02004021,0,12,6,18,28,23,15,5
E02004022,5,13,11,23,39,29,42,9
E02004023,5,18,12,12,20,23,34,6
E02004024,10,23,13,14,27,43,35,6
E02004025,7,11,14,9,30,39,45,10
E02004026,17,23,14,11,63,47,58,23
E02004027,8,15,11,8,54,30,53,7
E02004028,15,21,20,13,43,44,49,16
E02000984,18,46,36,17,27,33,47,13
E02000985,15,28,30,12,33,25,37,21
E02000986,18,45,60,23,35,45,40,33
E02000987,8,28,37,11,46,47,57,21
E02000988,8,36,41,15,23,59,54,58
E02000989,8,25,23,12,28,38,39,12
E02000990,10,34,25,11,41,52,38,20
E02000991,12,25,39,17,37,41,59,24
E02000992,11,23,24,14,26,30,37,12
E02000993,7,25,33,22,25,59,73,73
E02000994,6,31,38,8,20,63,51,50
E02000995,6,31,26,17,20,53,41,54
E02000996,3,22,30,10,22,47,63,68
E02000997,5,20,14,7,21,38,28,16
E02000998,5,34,58,23,34,76,65,72
E02000999,8,43,34,16,22,58,47,74
E02001000,10,29,36,26,43,86,75,77
E02001001,17,34,29,17,24,27,46,48
E02001002,11,34,37,19,45,64,76,57
E02001003,15,29,43,7,17,21,17,16
E02001004,9,13,40,5,18,62,39,71
E02001005,8,31,31,19,24,62,55,77
E02001006,8,27,37,14,22,53,38,53
E02001007,15,36,55,21,56,51,61,28
E02001008,4,26,27,13,19,53,41,53
E02001009,12,24,25,18,20,39,49,44
E02001010,4,19,21,13,26,40,57,76
E02001011,11,42,49,10,50,57,65,22
E02001012,2,28,38,19,28,71,63,53
E02001013,11,26,20,10,19,26,29,18
E02001014,13,27,34,12,45,68,53,39
E02001015,5,24,36,18,44,61,66,45
E02001016,9,24,40,8,39,71,65,70
E02001017,15,40,48,30,55,78,71,45
E02001018,10,30,33,10,31,53,55,23
E02001019,7,26,26,10,43,43,50,41
E02001020,7,26,21,8,18,30,24,15
E02001021,14,44,38,8,32,49,32,16
E02001022,9,26,40,11,31,41,38,50
E02001023,14,26,24,8,20,36,33,34
E02001024,18,37,35,18,35,56,42,30
E02001025,3,38,27,15,37,61,67,73
E02001026,9,29,31,21,37,93,68,71
E02001027,9,39,28,9,28,66,54,40
E02001028,13,32,37,13,25,26,23,16
E02001029,9,19,47,10,24,55,48,46
E02001030,8,27,23,15,30,31,33,19
E02001031,8,32,41,6,28,37,45,28
E02001032,7,34,50,11,47,70,42,32
E02001033,7,23,37,12,18,51,39,37
E02001034,9,29,46,20,26,69,65,63
E02001035,16,35,28,12,22,29,29,14
E02001036,13,30,38,13,22,51,39,48
E02001037,14,31,26,11,25,28,17,18
E02001038,2,20,37,12,13,43,23,14
E02001039,9,22,39,12,34,72,54,57
E02001040,9,25,28,8,21,39,23,26
E02001041,5,30,40,14,26,59,44,56
E02001042,11,36,26,10,15,30,24,26
E02001043,16,11,23,9,19,29,19,32
E02001044,13,27,39,8,12,30,22,28
E02001045,0,23,23,10,37,48,68,67
E02001046,9,30,27,14,36,88,87,95
E02001047,7,30,44,19,34,78,65,59
E02001048,7,24,29,11,30,60,37,32
E02001049,12,32,55,26,45,84,71,76
E02001050,14,21,24,14,23,52,52,56
E02001051,4,12,38,17,29,48,64,65
E02001052,12,29,53,17,25,87,35,96
E02001053,3,18,33,11,26,60,64,126
E02001055,2,16,36,17,31,58,63,85
E02001056,4,21,38,2,19,52,38,82
E02001057,47,127,66,12,31,51,44,71
E02001059,21,49,37,17,26,80,63,108
E02001061,11,19,25,8,33,65,59,82
