msoa11cd,"1. Higher managerial, administrative and professional occupations","2. Lower managerial, administrative and professional occupations",3. Intermediate occupations,4. Small employers and own account workers,5. Lower supervisory and technical occupations,6. Semi-routine occupations,7. Routine occupations,8. Never worked and long-term unemployed
E02002559,14,35,39,9,28,39,44,13
E02002560,9,18,33,5,33,46,37,23
E02002561,6,26,23,5,30,29,28,14
E02002562,4,22,33,6,25,41,59,39
E02002563,9,18,25,5,21,39,45,34
E02002564,8,25,44,6,48,54,76,61
E02002565,5,28,41,5,36,42,40,40
E02002566,20,44,54,11,28,58,87,96
E02002567,11,23,37,15,42,62,49,59
E02002568,6,28,24,8,17,22,16,17
E02002569,10,29,39,6,19,35,30,15
E02002570,11,35,31,8,32,66,61,52
E02002571,8,22,30,8,30,42,52,50
E02002572,10,26,26,11,26,41,49,59
E02002573,11,34,38,16,34,49,32,27
E02004290,10,17,27,7,22,49,31,20
E02004291,6,15,22,6,35,48,50,42
E02004292,13,34,24,4,24,45,39,21
E02004293,6,25,23,13,42,76,61,63
E02004294,12,45,31,15,26,50,32,15
E02004295,4,19,22,7,31,47,38,27
E02004296,7,23,19,8,35,56,59,52
E02004297,5,29,20,6,42,58,44,20
E02004298,13,26,23,14,42,66,41,41
E02004299,9,22,32,6,36,81,55,70
E02004300,6,21,15,4,48,63,72,47
E02004301,0,21,30,10,48,52,79,82
E02004302,6,23,15,10,42,78,62,79
E02004303,9,44,38,12,56,83,87,30
E02004304,4,22,12,12,41,73,75,49
E02004305,7,31,16,12,48,67,72,39
E02004306,5,13,16,4,14,31,35,19
E02004307,7,18,24,7,18,53,38,33
E02004308,7,31,25,5,27,53,32,31
E02004309,7,21,25,6,23,38,21,20
E02004310,9,25,15,17,27,52,41,44
E02004311,9,25,25,19,33,61,60,33
E02004312,7,32,26,7,31,45,35,19
E02004313,20,51,25,4,19,51,52,46
E02004314,21,28,11,11,19,36,38,81
E02004315,29,35,20,6,24,40,37,23
E02004316,5,11,9,5,24,47,44,42
E02004317,8,17,16,7,34,50,51,44
E02004318,4,27,17,12,22,39,29,24
E02004319,8,19,19,6,36,49,45,51
